total convolution get_classification_scores get_bounding_boxes get_proposal 
1.24237394333 0.000741004943848 0.000876188278198 0.000303983688354 1.24044704437
0.0701141357422 0.000425100326538 0.000504016876221 0.000324964523315 0.068855047226
0.0686149597168 0.000504016876221 0.000527143478394 0.000321865081787 0.0672569274902
0.0694289207458 0.000465154647827 0.000608921051025 0.000382900238037 0.0679647922516
0.0709371566772 0.000380039215088 0.000508069992065 0.000248908996582 0.0697960853577
0.0707249641418 0.000396966934204 0.000488996505737 0.000243902206421 0.0695898532867
0.0739159584045 0.000488042831421 0.000529050827026 0.00030517578125 0.0725879669189
0.0700438022614 0.000417947769165 0.000568151473999 0.000268936157227 0.0687828063965
0.0668740272522 0.000485897064209 0.000535011291504 0.000275135040283 0.0655720233917
0.0709671974182 0.000641107559204 0.000553131103516 0.000284910202026 0.0694811344147
0.0681462287903 0.000452995300293 0.000618934631348 0.000263214111328 0.0668041706085
0.0666689872742 0.000459909439087 0.000530958175659 0.000293016433716 0.065379858017
0.0728447437286 0.000476121902466 0.000556945800781 0.000327825546265 0.0714766979218
0.0735421180725 0.000414133071899 0.000550031661987 0.000275135040283 0.0722970962524
0.0699148178101 0.00077486038208 0.000629901885986 0.000321865081787 0.0681798458099
0.073276758194 0.000494003295898 0.000641822814941 0.000345945358276 0.0717878341675
0.0709779262543 0.000449180603027 0.000577926635742 0.000297069549561 0.0696468353271
0.075737953186 0.000513076782227 0.000626802444458 0.00034499168396 0.0742428302765
0.0642807483673 0.000491142272949 0.000541925430298 0.000330924987793 0.0629096031189
0.0724911689758 0.000447988510132 0.000488996505737 0.000318050384521 0.071230173111
0.0713930130005 0.000466823577881 0.000605821609497 0.00029993057251 0.0700120925903
0.0746088027954 0.000452041625977 0.00049901008606 0.000354051589966 0.0732967853546
0.0699579715729 0.000530958175659 0.000672101974487 0.000370979309082 0.0683779716492
0.0767369270325 0.00062894821167 0.000675916671753 0.000373125076294 0.0750517845154
0.0683588981628 0.000672101974487 0.000686168670654 0.000365018844604 0.0666279792786
0.0716259479523 0.00049901008606 0.000640869140625 0.000330924987793 0.0701479911804
0.073460817337 0.000502824783325 0.000592947006226 0.000421047210693 0.0719377994537
0.0722432136536 0.000450134277344 0.000519990921021 0.000296115875244 0.0709731578827
0.0713379383087 0.000483989715576 0.000525951385498 0.000324010848999 0.0699968338013
0.0727603435516 0.000450134277344 0.000576972961426 0.000288963317871 0.0714373588562
0.0794129371643 0.000456809997559 0.000571966171265 0.000300168991089 0.0780770778656
0.0723099708557 0.000424146652222 0.000524044036865 0.000268936157227 0.0710878372192
0.0782628059387 0.000487089157104 0.000502109527588 0.000313997268677 0.0769517421722
0.0650889873505 0.000452041625977 0.000545024871826 0.000323057174683 0.0637629032135
