total transform get_proposal sort generate_output before_nms nms after_nms 
1.24005579948 0.0027129650116 0.0184898376465 0.00250101089478 0.00028395652771 0.00654602050781 1.20138001442 0.0063898563385
0.0685901641846 0.00224900245667 0.0208790302277 0.00190782546997 0.000181198120117 0.00376892089844 0.0332899093628 0.00500321388245
0.0669419765472 0.00194382667542 0.0171849727631 0.00216794013977 0.000180959701538 0.00481104850769 0.0335609912872 0.00574016571045
0.0676307678223 0.0019371509552 0.0198659896851 0.00231218338013 0.000226974487305 0.00481486320496 0.0313420295715 0.00568985939026
0.0695171356201 0.00194191932678 0.0181710720062 0.00220489501953 0.000258207321167 0.004478931427 0.0360479354858 0.00507998466492
0.0692188739777 0.00189995765686 0.0174260139465 0.00232791900635 0.000226020812988 0.00406789779663 0.0361838340759 0.00578093528748
0.0722937583923 0.00211596488953 0.0205051898956 0.00234508514404 0.000266075134277 0.0046501159668 0.0361948013306 0.00490117073059
0.0685069561005 0.00199103355408 0.0180399417877 0.00226712226868 0.000174999237061 0.00452709197998 0.0352959632874 0.00495505332947
0.0652849674225 0.00202703475952 0.0190680027008 0.0022828578949 0.000214099884033 0.00483584403992 0.0307199954987 0.00468587875366
0.0691561698914 0.0019199848175 0.0172429084778 0.002436876297 0.000221014022827 0.00420784950256 0.0352439880371 0.0064799785614
0.066483259201 0.00203800201416 0.0166399478912 0.00215601921082 0.0002281665802 0.00487112998962 0.033390045166 0.00582385063171
0.0650560855865 0.00218605995178 0.0163180828094 0.00201511383057 0.000180959701538 0.00385999679565 0.033481836319 0.00568199157715
0.0710957050323 0.00193500518799 0.0193798542023 0.0030791759491 0.000237941741943 0.00443291664124 0.0339739322662 0.00663208961487
0.0719759464264 0.00199222564697 0.0185899734497 0.00217890739441 0.000231981277466 0.00487494468689 0.0367341041565 0.0059061050415
0.0678451061249 0.00195384025574 0.0173909664154 0.00231099128723 0.000225782394409 0.00414800643921 0.0347127914429 0.00570106506348
0.0713968276978 0.00193691253662 0.0171728134155 0.00215291976929 0.000230073928833 0.00484895706177 0.0370111465454 0.00658798217773
0.0693168640137 0.00206089019775 0.0164539813995 0.0024139881134 0.000226974487305 0.00451683998108 0.0365390777588 0.00567388534546
0.0737788677216 0.00202202796936 0.0190920829773 0.00227117538452 0.000226020812988 0.00486207008362 0.0372560024261 0.00653004646301
0.0625736713409 0.00205993652344 0.018257856369 0.00210809707642 0.000178813934326 0.00384998321533 0.0288300514221 0.00593996047974
0.0708069801331 0.00192904472351 0.0195488929749 0.00282406806946 0.000311136245728 0.00546288490295 0.0332589149475 0.00616121292114
0.0696239471436 0.00199103355408 0.0165929794312 0.00236487388611 0.000181913375854 0.0040500164032 0.0365030765533 0.00657200813293
0.0729598999023 0.00194191932678 0.0195791721344 0.0023980140686 0.000178098678589 0.00436782836914 0.037593126297 0.00556993484497
0.068038225174 0.00195002555847 0.0163600444794 0.00226306915283 0.000184059143066 0.00377702713013 0.0361089706421 0.00567388534546
0.0747117996216 0.00194787979126 0.0198311805725 0.00240397453308 0.000228881835938 0.00487518310547 0.0379030704498 0.0060601234436
0.0662970542908 0.00195789337158 0.0167450904846 0.00209403038025 0.000182867050171 0.00374579429626 0.035031080246 0.0051429271698
